id,question,problem_description,tc1,tc2,tc3,tc4,tc5,company,difficulty,category,hint
1,Two Sum,"Given an array of integers and a target sum, find indices of two numbers that add up to the target. Assume exactly one solution exists, and each element can be used only once, solved efficiently using a hash map.","nums=[2,7,11,15], target=9, output=[0,1]","nums=[3,2,4], target=6, output=[1,2]","nums=[3,3], target=6, output=[0,1]","nums=[1,2,3,4], target=7, output=[2,3]","nums=[0,4,3,0], target=0, output=[0,3]","Google, Amazon, Facebook, Microsoft, Apple",Easy,"Array, Hash Table",Use a hash map to store numbers and their indices.
2,Longest Substring Without Repeating Characters,"Find the length of the longest substring in a string that contains no repeating characters. Use a sliding window with a hash set to track unique characters, handling edge cases like empty strings.","s='abcabcbb', output=3","s='bbbbb', output=1","s='pwwkew', output=3","s='', output=0","s='dvdf', output=3","Google, Amazon, Facebook, Microsoft",Medium,"String, Sliding Window",Use a sliding window with a hash set to track unique characters.
3,Median of Two Sorted Arrays,"Given two sorted arrays, find the median of their merged array. Use binary search to partition the arrays efficiently, handling cases where arrays have different lengths or are empty, targeting O(log(min(m,n))) time.","nums1=[1,3], nums2=[2], output=2.0","nums1=[1,2], nums2=[3,4], output=2.5","nums1=[0,0], nums2=[0,0], output=0.0","nums1=[], nums2=[1], output=1.0","nums1=[2], nums2=[], output=2.0","Google, Amazon, Microsoft",Hard,"Array, Binary Search, Divide and Conquer",Use binary search to partition arrays.
4,Longest Palindromic Substring,"Find the longest palindromic substring in a given string. Expand around each character or gap as a potential palindrome center, ensuring O(n^2) time complexity and handling single-character or empty strings.","s='babad', output='bab'","s='cbbd', output='bb'","s='a', output='a'","s='racecar', output='racecar'","s='aaaa', output='aaaa'","Google, Amazon, Facebook",Medium,"String, Dynamic Programming",Expand around the center to find palindromes.
5,ZigZag Conversion,"Convert a string into a zigzag pattern with a given number of rows and read it row by row. Simulate the zigzag by tracking row indices, handling edge cases like one row or short strings in O(n) time.","s='PAYPALISHIRING', numRows=3, output='PAHNAPLSIIGYIR'","s='PAYPALISHIRING', numRows=4, output='PINALSIGYAHRPI'","s='A', numRows=1, output='A'","s='AB', numRows=2, output='AB'","s='ABC', numRows=3, output='ABC'","Google, Amazon",Medium,String,Simulate zigzag by tracking row indices.
6,String to Integer (atoi),"Convert a string to a 32-bit signed integer, handling leading whitespace, signs, and overflow. Parse digits until a non-digit is encountered, returning the clamped value if it exceeds the 32-bit integer range.","s='42', output=42","s='-42', output=-42","s='4193 with words', output=4193","s='words and 987', output=0","s='-91283472332', output=-2147483648","Google, Amazon, Microsoft",Medium,String,"Handle signs, whitespace, and overflow."
7,Container With Most Water,"Given an array of heights, find the maximum area of water that can be trapped between two lines. Use two pointers to scan from both ends, updating the maximum area in O(n) time while handling varying heights.","height=[1,8,6,2,5,4,8,3,7], output=49","height=[1,1], output=1","height=[4,3,2,1,4], output=16","height=[1,2,1], output=2","height=[2,3,4,5], output=6","Google, Amazon, Facebook",Medium,"Array, Two Pointers",Use two pointers to maximize area.
8,3Sum,"Find all unique triplets in an array that sum to zero. Sort the array and use two pointers to find triplets in O(n^2) time, avoiding duplicates by skipping repeated values.","nums=[-1,0,1,2,-1,-4], output=[[-1,-1,2],[-1,0,1]]","nums=[0,0,0], output=[[0,0,0]]","nums=[1,2,3,4], output=[]","nums=[-2,0,1,1], output=[[-2,0,2]]","nums=[-1,0,1], output=[[-1,0,1]]","Google, Amazon, Facebook",Medium,"Array, Two Pointers",Sort and use two pointers to find triplets.
9,Letter Combinations of a Phone Number,"Given a string of digits, return all possible letter combinations mapped to a phone keypad. Use backtracking to generate combinations, handling empty inputs or single digits in O(4^n) time.","digits='23', output=['ad','ae','af','bd','be','bf','cd','ce','cf']","digits='', output=[]","digits='2', output=['a','b','c']","digits='7', output=['p','q','r','s']","digits='89', output=['tw','tx','ty','tz','uw','ux','uy','uz','vw','vx','vy','vz']","Google, Amazon",Medium,Backtracking,Use backtracking to generate all combinations.
10,Remove Nth Node From End of List,"Remove the nth node from the end of a singly linked list in one pass. Use two pointers with a gap of n nodes to locate and remove the target node, handling edge cases like removing the head.","head=[1,2,3,4,5], n=2, output=[1,2,3,5]","head=[1], n=1, output=[]","head=[1,2], n=1, output=[1]","head=[1,2,3], n=3, output=[2,3]","head=[1,2,3,4], n=1, output=[1,2,3]","Google, Amazon, Facebook",Medium,"Linked List, Two Pointers",Use two pointers to find the nth node from the end.
11,Valid Parentheses,"Determine if a string of parentheses is valid by ensuring matching pairs. Use a stack to track opening brackets, checking for correct closure in O(n) time, handling empty or mismatched strings.","s='()', output=true","s='()[]{}', output=true","s='(]', output=false","s='([)]', output=false","s='{[]}', output=true","Google, Amazon, Facebook",Easy,"String, Stack",Use a stack to match opening and closing brackets.
12,Merge Two Sorted Lists,"Merge two sorted linked lists into a single sorted list. Compare node values iteratively or recursively, merging in O(n+m) time, where n and m are the list lengths, handling empty lists.","list1=[1,2,4], list2=[1,3,4], output=[1,1,2,3,4,4]","list1=[], list2=[0], output=[0]","list1=[1], list2=[], output=[1]","list1=[1,2], list2=[3], output=[1,2,3]","list1=[2], list2=[1], output=[1,2]","Google, Amazon",Easy,Linked List,Merge lists by comparing node values.
13,Generate Parentheses,"Generate all valid combinations of n pairs of parentheses. Use backtracking to build strings with balanced parentheses, ensuring O(2^n) time for Catalan number outputs.","n=3, output=['((()))','(()())','(())()','()(()','()()()']","n=1, output=['()']","n=2, output=['(())','()()']","n=4, output=(14 valid combinations)","n=0, output=[]","Google, Amazon",Medium,Backtracking,Use backtracking to generate valid parentheses.
14,Merge k Sorted Lists,"Merge k sorted linked lists into one sorted list. Use a min-heap to efficiently select the smallest node from k lists, achieving O(n log k) time, where n is the total number of nodes.","lists=[[1,4,5],[1,3,4],[2,6]], output=[1,1,2,3,4,4,5,6]","lists=[], output=[]","lists=[[]], output=[]","lists=[[1]], output=[1]","lists=[[1,2],[3,4]], output=[1,2,3,4]","Google, Amazon, Facebook, Microsoft",Hard,"Linked List, Divide and Conquer, Heap",Use a min-heap to merge lists efficiently.
15,Swap Nodes in Pairs,"Swap adjacent nodes in a linked list in pairs. Adjust pointers to swap nodes in-place in O(n) time, handling odd-length lists or single nodes.","head=[1,2,3,4], output=[2,1,4,3]","head=[1], output=[1]","head=[1,2], output=[2,1]","head=[1,2,3], output=[2,1,3]","head=[1,2,3,4,5], output=[2,1,4,3,5]","Google, Amazon",Medium,Linked List,Swap adjacent nodes by adjusting pointers.
16,Remove Duplicates from Sorted Array,"Remove duplicates from a sorted array in-place, returning the length of the unique portion. Use two pointers to track unique elements, achieving O(n) time and O(1) space.","nums=[1,1,2], output=2","nums=[0,0,1,1,1,2,2,3,3,4], output=5","nums=[1], output=1","nums=[1,1,1], output=1","nums=[1,2,3], output=3","Google, Amazon, Microsoft",Easy,"Array, Two Pointers",Use two pointers to keep unique elements.
17,Find the Index of the First Occurrence in a String,"Find the first occurrence of a substring (needle) in a string (haystack). Implement string matching (e.g., KMP) or use built-in methods for O(n+m) time, handling cases where needle is empty or not found.","haystack='sadbutsad', needle='sad', output=0","haystack='leetcode', needle='leeto', output=-1","haystack='hello', needle='ll', output=2","haystack='aaaaa', needle='bba', output=-1","haystack='abc', needle='c', output=2","Google, Amazon",Easy,String,Use string matching or KMP algorithm.
