id,question,answer,company,role,difficulty,category
1,What is the role of web apis in frontend development?,"Frontend developers use Web APIs like Fetch, localStorage, IndexedDB, Geolocation, and WebSockets to interact with the browser environment and external services securely.",Google,Frontend Development,Medium,Web APIs
2,What is the role of javascript in frontend development?,"JavaScript is a versatile scripting language used for DOM manipulation, event handling, and asynchronous operations using callbacks, promises, and async/await. It forms the foundation of frontend interactivity and is supported by frameworks like React and Vue.",Microsoft,Frontend Development,Situation Based,JavaScript
3,What is the role of build tools in frontend development?,"Build tools like Webpack, Vite, and Parcel bundle and optimize frontend assets. They support module resolution, hot reloading, code splitting, and plugins for advanced configurations.",Meta,Frontend Development,Medium,Build Tools
4,What is the role of cross-browser compatibility in frontend development?,"Cross-browser compatibility ensures consistent behavior across browsers. Use vendor prefixes, test with tools like BrowserStack, and avoid deprecated APIs. Modern tools like Babel and Autoprefixer help polyfill unsupported features.",Amazon,Frontend Development,Easy,Cross-Browser Compatibility
5,What is the role of react in frontend development?,"React is a JavaScript library for building component-based UIs. It uses a virtual DOM for efficient rendering, supports hooks like useState and useEffect, and leverages JSX syntax. React encourages reusable, declarative code and unidirectional data flow.",Infosys,Frontend Development,Situation Based,React
6,What is the role of web apis in frontend development?,"Frontend developers use Web APIs like Fetch, localStorage, IndexedDB, Geolocation, and WebSockets to interact with the browser environment and external services securely.",Infosys,Frontend Development,Hard,Web APIs
7,What is the role of responsive design in frontend development?,"Responsive design ensures websites adapt to different screen sizes using media queries, flexible grids, and fluid layouts. Frameworks like Bootstrap and Tailwind CSS simplify responsive development.",Google,Frontend Development,Medium,Responsive Design
8,What is the role of vue.js in frontend development?,"Vue.js is a progressive JavaScript framework for building UIs. It supports declarative rendering, component composition, and reactive data binding. Vue CLI helps scaffold applications and Vuex manages state in complex apps.",Infosys,Frontend Development,Easy,Vue.js
9,What is the role of testing in frontend development?,"Frontend testing includes unit tests (Jest), integration tests (React Testing Library), and end-to-end tests (Cypress). Testing ensures components behave correctly and supports CI/CD pipelines.",Microsoft,Frontend Development,Easy,Testing
10,What is the role of build tools in frontend development?,"Build tools like Webpack, Vite, and Parcel bundle and optimize frontend assets. They support module resolution, hot reloading, code splitting, and plugins for advanced configurations.",TCS,Frontend Development,Easy,Build Tools
11,What is the role of javascript in frontend development?,"JavaScript is a versatile scripting language used for DOM manipulation, event handling, and asynchronous operations using callbacks, promises, and async/await. It forms the foundation of frontend interactivity and is supported by frameworks like React and Vue.",Meta,Frontend Development,Medium,JavaScript
12,What is the role of javascript in frontend development?,"JavaScript is a versatile scripting language used for DOM manipulation, event handling, and asynchronous operations using callbacks, promises, and async/await. It forms the foundation of frontend interactivity and is supported by frameworks like React and Vue.",Microsoft,Frontend Development,Easy,JavaScript
13,What is the role of web apis in frontend development?,"Frontend developers use Web APIs like Fetch, localStorage, IndexedDB, Geolocation, and WebSockets to interact with the browser environment and external services securely.",Infosys,Frontend Development,Hard,Web APIs
14,What is the role of react in frontend development?,"React is a JavaScript library for building component-based UIs. It uses a virtual DOM for efficient rendering, supports hooks like useState and useEffect, and leverages JSX syntax. React encourages reusable, declarative code and unidirectional data flow.",Microsoft,Frontend Development,Medium,React
15,What is the role of html in frontend development?,"HTML (HyperText Markup Language) is the standard markup language for creating web pages. It structures content using elements like <div>, <p>, <img>, and semantic tags such as <header>, <article>, and <footer>. HTML5 introduced new elements, multimedia support, and APIs like localStorage.",TCS,Frontend Development,Medium,HTML
16,What is the role of angular in frontend development?,"Angular is a TypeScript-based web framework that offers a complete solution for SPAs. It uses components, dependency injection, RxJS for reactive programming, and a robust CLI. It supports two-way data binding and modular architecture.",Infosys,Frontend Development,Easy,Angular
17,What is the role of state management in frontend development?,State management involves controlling shared and local component states. React uses Context API and Redux for global state. Vue uses Vuex. Efficient state management reduces bugs and enhances scalability.,Amazon,Frontend Development,Medium,State Management
18,What is the role of build tools in frontend development?,"Build tools like Webpack, Vite, and Parcel bundle and optimize frontend assets. They support module resolution, hot reloading, code splitting, and plugins for advanced configurations.",Amazon,Frontend Development,Easy,Build Tools
19,What is the role of angular in frontend development?,"Angular is a TypeScript-based web framework that offers a complete solution for SPAs. It uses components, dependency injection, RxJS for reactive programming, and a robust CLI. It supports two-way data binding and modular architecture.",Amazon,Frontend Development,Easy,Angular
20,What is the role of state management in frontend development?,State management involves controlling shared and local component states. React uses Context API and Redux for global state. Vue uses Vuex. Efficient state management reduces bugs and enhances scalability.,Microsoft,Frontend Development,Hard,State Management
21,What is the role of cross-browser compatibility in frontend development?,"Cross-browser compatibility ensures consistent behavior across browsers. Use vendor prefixes, test with tools like BrowserStack, and avoid deprecated APIs. Modern tools like Babel and Autoprefixer help polyfill unsupported features.",Microsoft,Frontend Development,Medium,Cross-Browser Compatibility
22,What is the role of build tools in frontend development?,"Build tools like Webpack, Vite, and Parcel bundle and optimize frontend assets. They support module resolution, hot reloading, code splitting, and plugins for advanced configurations.",TCS,Frontend Development,Situation Based,Build Tools
23,What is the role of css in frontend development?,"CSS (Cascading Style Sheets) controls the presentation of web content. It supports selectors, properties, pseudo-classes, media queries, and layout models like Flexbox and Grid. Preprocessors like SASS and BEM methodology help manage large codebases.",Amazon,Frontend Development,Situation Based,CSS
24,What is the role of javascript in frontend development?,"JavaScript is a versatile scripting language used for DOM manipulation, event handling, and asynchronous operations using callbacks, promises, and async/await. It forms the foundation of frontend interactivity and is supported by frameworks like React and Vue.",Meta,Frontend Development,Medium,JavaScript
25,What is the role of build tools in frontend development?,"Build tools like Webpack, Vite, and Parcel bundle and optimize frontend assets. They support module resolution, hot reloading, code splitting, and plugins for advanced configurations.",Google,Frontend Development,Hard,Build Tools
