id,question,answer,company,role,difficulty,category
1,What is the concept of unsupervised learning in machine learning?,"Unsupervised learning handles data without labels. It finds patterns or groupings in the data. Key techniques include K-Means clustering, Hierarchical clustering, and dimensionality reduction using PCA or t-SNE. Applications include anomaly detection, customer segmentation, and data compression.",Meta,Machine Learning,Hard,Unsupervised Learning
2,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Amazon,Machine Learning,Easy,Model Evaluation
3,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",TCS,Machine Learning,Hard,Reinforcement Learning
4,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,Amazon,Machine Learning,Medium,Neural Networks
5,What is the concept of natural language processing in machine learning?,"NLP focuses on enabling machines to understand human language. Core tasks include sentiment analysis, named entity recognition, and machine translation. Key techniques include tokenization, TF-IDF, Word2Vec, and Transformer models like BERT and GPT.",Amazon,Machine Learning,Easy,Natural Language Processing
6,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",Infosys,Machine Learning,Hard,Reinforcement Learning
7,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",TCS,Machine Learning,Hard,Computer Vision
8,What is the concept of regularization in machine learning?,"Regularization adds a penalty to the loss function to reduce overfitting. L1 (Lasso) promotes sparsity, L2 (Ridge) shrinks coefficients smoothly. Regularization is essential in linear models, neural networks, and logistic regression.",Microsoft,Machine Learning,Easy,Regularization
9,What is the concept of regularization in machine learning?,"Regularization adds a penalty to the loss function to reduce overfitting. L1 (Lasso) promotes sparsity, L2 (Ridge) shrinks coefficients smoothly. Regularization is essential in linear models, neural networks, and logistic regression.",TCS,Machine Learning,Medium,Regularization
10,What is the concept of dimensionality reduction in machine learning?,"Dimensionality reduction reduces the number of input features while retaining the essential information. PCA transforms features into orthogonal components, while LDA and t-SNE help in visualization and noise reduction. It prevents overfitting and improves model speed.",TCS,Machine Learning,Hard,Dimensionality Reduction
11,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Meta,Machine Learning,Medium,Model Evaluation
12,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",Meta,Machine Learning,Easy,Reinforcement Learning
13,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",Amazon,Machine Learning,Easy,Feature Engineering
14,What is the concept of supervised learning in machine learning?,"Supervised learning is a type of machine learning where models learn from labeled data. Algorithms like Linear Regression, Decision Trees, and SVM map input features (X) to output labels (Y). Key concepts include loss functions (MSE, Cross-Entropy), overfitting, and evaluation metrics like accuracy and F1-score.",Amazon,Machine Learning,Easy,Supervised Learning
